epoch,train_loss,val_loss,val_f05,val_precision,val_recall,lr
1,2.016273,0.419506,0.001450,0.001174,0.025000,0.00000689
2,0.630807,0.184802,0.002823,0.002292,0.039286,0.00000878
3,0.305125,0.094132,0.001863,0.001517,0.021429,0.00001067
4,0.183376,0.068648,0.002326,0.001902,0.021429,0.00001256
5,0.131674,0.058965,0.003298,0.002701,0.028571,0.00001445
6,0.105308,0.054848,0.002509,0.002055,0.021429,0.00001634
7,0.091700,0.053195,0.002907,0.002381,0.025000,0.00001823
8,0.081946,0.050875,0.002470,0.002023,0.021429,0.00002012
9,0.074923,0.049624,0.002534,0.002076,0.021429,0.00002201
10,0.069067,0.047918,0.002148,0.001761,0.017857,0.00002390
11,0.064284,0.044987,0.003015,0.002472,0.025000,0.00002579
12,0.059630,0.042855,0.003077,0.002523,0.025000,0.00002768
13,0.055931,0.038663,0.003125,0.002564,0.025000,0.00002957
14,0.050790,0.034644,0.002269,0.001863,0.017857,0.00003146
15,0.047679,0.032632,0.003655,0.003001,0.028571,0.00003335
16,0.044329,0.031251,0.005022,0.004123,0.039286,0.00003524
17,0.041032,0.029868,0.005004,0.004108,0.039286,0.00003713
18,0.039141,0.029928,0.006373,0.005232,0.050000,0.00003902
19,0.037345,0.028360,0.008590,0.007050,0.067857,0.00004091
20,0.035756,0.027556,0.010379,0.008519,0.082143,0.00004280
21,0.034564,0.026447,0.010791,0.008856,0.085714,0.00004469
22,0.033098,0.025688,0.011703,0.009605,0.092857,0.00004658
23,0.031896,0.025386,0.014337,0.011765,0.114286,0.00004847
24,0.030522,0.025581,0.014780,0.012128,0.117857,0.00004894
25,0.029364,0.024566,0.015715,0.012896,0.125000,0.00001868
26,0.029031,0.023984,0.016158,0.013260,0.128571,0.00004940
27,0.028808,0.023977,0.016970,0.013925,0.135714,0.00002046
28,0.028187,0.023896,0.017050,0.013991,0.135714,0.00004973
29,0.027416,0.023070,0.018336,0.015046,0.146429,0.00002227
30,0.026963,0.023473,0.018343,0.015051,0.146429,0.00004993
