epoch,train_loss,val_loss,val_f05,val_precision,val_recall,lr
1,2.009578,0.626173,0.002053,0.001657,0.046429,0.00000689
2,0.994141,0.557089,0.001513,0.001223,0.028571,0.00000878
3,0.860901,0.666672,0.006027,0.004950,0.046429,0.00001067
4,0.886900,0.741518,0.003666,0.003058,0.017857,0.00001256
5,0.826893,0.549674,0.003470,0.002918,0.014286,0.00001445
6,0.498791,0.245265,0.004675,0.003946,0.017857,0.00001634
7,0.258018,0.124241,0.001085,0.000924,0.003571,0.00001823
8,0.156999,0.090805,0.004558,0.003895,0.014286,0.00002012
9,0.117503,0.077789,0.002399,0.002058,0.007143,0.00002201
10,0.098453,0.068931,0.004916,0.004224,0.014286,0.00002390
11,0.085365,0.059516,0.002735,0.002370,0.007143,0.00002579
12,0.074996,0.053546,0.002952,0.002574,0.007143,0.00002768
13,0.065447,0.047934,0.002938,0.002561,0.007143,0.00002957
14,0.059266,0.043650,0.007344,0.006402,0.017857,0.00003146
15,0.053935,0.040970,0.005767,0.005019,0.014286,0.00003335
16,0.049368,0.039339,0.008741,0.007614,0.021429,0.00003524
17,0.045119,0.035408,0.011669,0.010165,0.028571,0.00003713
18,0.043186,0.033258,0.016120,0.014049,0.039286,0.00003902
19,0.040856,0.033326,0.027616,0.024051,0.067857,0.00004091
20,0.038068,0.032955,0.029691,0.025907,0.071429,0.00004280
21,0.036770,0.030454,0.041032,0.035760,0.100000,0.00004469
22,0.035048,0.030529,0.041128,0.035851,0.100000,0.00004658
23,0.033273,0.029838,0.045322,0.039490,0.110714,0.00004847
24,0.032429,0.029027,0.049190,0.042821,0.121429,0.00004996
25,0.031061,0.027806,0.049190,0.042821,0.121429,0.00004827
26,0.029459,0.025801,0.052201,0.045343,0.132143,0.00004431
27,0.028799,0.026148,0.055679,0.048309,0.142857,0.00003846
28,0.028271,0.025720,0.060190,0.052248,0.153571,0.00003129
29,0.027466,0.025192,0.062570,0.054282,0.160714,0.00002350
30,0.027191,0.024551,0.066815,0.057971,0.171429,0.00001587
