epoch,train_loss,val_loss,val_f05,val_precision,val_recall,lr
1,2.051737,0.431719,0.001431,0.001158,0.025000,0.00000689
2,0.663251,0.191704,0.002307,0.001873,0.032143,0.00000878
3,0.314290,0.096183,0.002994,0.002436,0.035714,0.00001067
4,0.184559,0.068573,0.002687,0.002196,0.025000,0.00001256
5,0.132484,0.058783,0.002095,0.001716,0.017857,0.00001445
6,0.106140,0.054369,0.002503,0.002050,0.021429,0.00001634
7,0.091549,0.051879,0.002072,0.001697,0.017857,0.00001823
8,0.081880,0.050706,0.002488,0.002038,0.021429,0.00002012
9,0.074016,0.048894,0.002955,0.002421,0.025000,0.00002201
10,0.068339,0.047108,0.003440,0.002820,0.028571,0.00002390
11,0.063946,0.044478,0.003479,0.002853,0.028571,0.00002579
12,0.058970,0.040840,0.003520,0.002887,0.028571,0.00002768
13,0.053841,0.036912,0.002694,0.002211,0.021429,0.00002957
14,0.049839,0.033986,0.002283,0.001874,0.017857,0.00003146
15,0.046180,0.031228,0.002736,0.002246,0.021429,0.00003335
16,0.043384,0.030418,0.004998,0.004103,0.039286,0.00003524
17,0.040556,0.029430,0.005911,0.004853,0.046429,0.00003713
18,0.038287,0.028336,0.007713,0.006331,0.060714,0.00003902
19,0.036560,0.027760,0.008618,0.007074,0.067857,0.00004091
20,0.035744,0.027020,0.010866,0.008919,0.085714,0.00004280
21,0.034108,0.026280,0.011712,0.009612,0.092857,0.00004469
22,0.032680,0.025995,0.012658,0.010390,0.100000,0.00004658
23,0.031369,0.025049,0.013499,0.011078,0.107143,0.00004847
24,0.030402,0.024676,0.013959,0.011456,0.110714,0.00004894
25,0.029333,0.024186,0.013470,0.011054,0.107143,0.00001868
26,0.028960,0.024695,0.014363,0.011786,0.114286,0.00004940
27,0.028148,0.023715,0.015222,0.012491,0.121429,0.00002046
28,0.028014,0.023068,0.017013,0.013960,0.135714,0.00004973
29,0.027482,0.023468,0.018777,0.015407,0.150000,0.00002227
30,0.026884,0.023093,0.019636,0.016111,0.157143,0.00004993
